image_name,labels
BRATS_457.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_306.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_206.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_449.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_318.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_218.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_434.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_365.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_265.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_214.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_314.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_445.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_269.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_369.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_438.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_277.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_377.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_426.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_095.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_222.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_195.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_473.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_322.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_241.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_410.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_341.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_330.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_461.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_187.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_230.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_087.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_199.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_099.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_353.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_402.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_253.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_384.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_133.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_284.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_033.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_150.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_050.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_021.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_296.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_121.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_396.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_288.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_388.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_042.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
